Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Guéhi,DEF,Crystal Palace,4.6,18.8,7.7,0,3,3,2,2,4,0,12,158,35.0,16.0,19.0,39.0,22.0,17.0,15500.0,762.295081967213,19.516129032258064,0.4193548387096774,0.0,2790,605,13,0.18,3.66,5.0,5.85,37.106,72.0,4,34.34782608695652,0.005806451612903225,1.3217391304347827,0.04160980148883374,0.3156975588642802,0.4527060783533107,1.548092169611438
Senesi,DEF,Bournemouth,4.6,7.3,8.3,0,0,0,3,2,5,0,9,147,49.0,24.0,25.0,51.0,19.0,32.0,12730.434782608696,1023.7762237762238,14.815573770491802,0.3381147540983606,0.0,2928,482,11,0.23,2.86,4.2,5.708,46.416,90.0,5,31.956521739130437,0.0070696721311475415,1.2695652173913043,0.050662207072299285,0.5779804497141106,0.28775700869183335,1.413443721737221
Lacroix,DEF,Crystal Palace,5.0,3.1,7.3,0,1,1,0,2,2,0,11,143,35.0,16.0,19.0,39.0,22.0,17.0,12113.636363636364,728.1420765027323,16.615384615384617,0.3714821763602251,0.0,2665,492,11,0.22,3.66,4.8,2.8899999999999997,36.262,54.0,3,28.6,0.007429643527204503,1.16,0.05324180978496175,0.3156975588642802,0.4527060783533107,1.3863530391766552
Truffert,DEF,Bournemouth,4.5,1.2,4.3,1,0,1,2,2,4,0,9,139,49.0,24.0,25.0,51.0,19.0,32.0,10778.571428571428,1055.2447552447552,14.910536779324056,0.4174950298210735,0.0,3018,500,14,0.28,2.86,6.4,3.136,46.065999999999995,90.0,5,30.88888888888889,0.008349900596421472,1.2355555555555555,0.05983649385736861,0.5779804497141106,0.28775700869183335,1.3794340599014723
Dewsbury-Hall,MID,Everton,5.0,4.8,5.3,3,4,7,3,3,6,0,8,132,43.0,25.0,18.0,45.0,27.0,18.0,2062.264150943396,389.66131907308375,21.40896614821592,0.6999085086916743,0.0,2186,520,17,1.06,5.61,4.0,7.818,31.227999999999998,71.6,4,26.4,0.04364135407136322,0.9039999999999999,0.31273972482229573,0.4069545043928433,0.2921539201461781,1.1871669527075281
B.Fernandes,MID,Man Utd,9.0,20.7,4.7,5,3,8,8,11,19,0,5,199,58.0,31.0,27.0,45.0,19.0,26.0,1054.4354838709678,612.4121779859486,29.08221797323136,1.2390057361376674,0.0,2615,845,36,2.48,4.27,6.6,19.422,35.93,72.0,4,22.11111111111111,0.08535372848948375,0.6488888888888888,0.6116561259008677,0.7286853940359839,0.36638562798154056,1.1791740334568737
Richards,DEF,Crystal Palace,4.5,1.9,5.3,1,0,1,0,0,0,0,11,122,35.0,16.0,19.0,39.0,22.0,17.0,19323.07692307692,686.3387978142076,16.086783439490446,0.179140127388535,0.0,2512,449,5,0.13,3.66,3.6,2.584,34.512,54.0,3,27.11111111111111,0.004657643312101911,0.9511111111111111,0.03337728901273885,0.3156975588642802,0.4527060783533107,1.1774641502877665
Haaland,FWD,Man City,14.1,33.3,8.0,15,9,24,3,4,7,0,12,212,69.0,41.0,28.0,33.0,14.0,19.0,644.9519230769231,713.5638297872341,28.345136041744315,1.241147968691763,0.0,2683,845,37,4.16,3.76,3.4,24.144,31.806,72.0,4,15.035460992907801,0.1395452851285874,0.3716312056737589,1.0,1.0,0.5559852905969355,1.171631205673759
Thiago,FWD,Brentford,6.0,1.6,4.7,12,9,21,1,0,1,0,9,168,50.0,28.0,22.0,49.0,19.0,30.0,2067.1532846715327,616.9934640522875,21.45127118644068,0.6991525423728814,0.0,2832,675,22,1.37,4.59,5.0,20.142000000000003,42.062,72.0,4,28.0,0.043538135593220346,0.8133333333333334,0.31200004753368105,0.5672043315157534,0.31980861278329475,1.1522548707540035
N.Williams,DEF,Nott'm Forest,5.0,7.6,1.3,1,1,2,0,3,3,0,9,122,47.0,18.0,29.0,48.0,21.0,27.0,18050.0,575.2988047808766,15.581717451523543,0.4674515235457063,0.0,2888,500,15,0.16,5.02,7.6,5.268,41.132,90.0,5,24.4,0.004986149584487534,1.016,0.03573140848071596,0.3640901930676135,0.25535171739354595,1.143675858696773
J.Timber,DEF,Arsenal,5.6,10.2,8.7,3,0,3,4,2,6,0,13,149,62.0,37.0,25.0,25.0,12.0,13.0,2452.0,1816.296296296296,19.526916802610117,0.3303425774877651,0.0,2452,532,9,1.0,1.35,0.2,6.24,17.45,7.4,1,26.607142857142858,0.0367047308319739,0.6428571428571429,0.26303096373447105,0.9073254665686203,1.0,1.1428571428571428
Van Hecke,DEF,Brighton,4.5,0.9,1.3,2,1,3,3,0,3,0,9,137,48.0,29.0,19.0,40.0,20.0,20.0,6477.272727272727,681.8181818181819,16.83157894736842,0.2526315789473684,0.0,2850,533,8,0.44,4.18,6.0,3.4899999999999998,39.136,90.0,5,30.444444444444443,0.013894736842105264,0.9155555555555553,0.0995715249662618,0.513346333999834,0.4508255661100926,1.1409683386106018
Enzo,MID,Chelsea,6.6,11.9,8.3,4,4,8,2,2,4,0,8,133,60.0,30.0,30.0,46.0,25.0,21.0,1263.302752293578,1166.949152542373,19.869281045751634,0.457516339869281,0.0,2754,608,14,2.18,2.36,1.6,16.574,37.025999999999996,71.4,4,20.151515151515152,0.07124183006535947,0.6484848484848486,0.5105283922685883,0.7334131809712697,0.27142922584090673,1.1349172383456576
Gibbs-White,MID,Nott'm Forest,7.5,5.3,3.0,6,7,13,1,2,3,0,10,168,47.0,18.0,29.0,48.0,21.0,27.0,2637.272727272727,577.8884462151395,19.85522233712513,0.4963805584281282,0.0,2901,640,16,1.1,5.02,9.2,10.866,42.839999999999996,84.8,5,22.4,0.03412616339193382,0.896,0.24455260785405564,0.3640901930676135,0.25535171739354595,1.1334802411079898
Raya,GKP,Arsenal,5.5,23.3,6.0,0,0,0,0,0,0,53,15,131,62.0,37.0,25.0,25.0,12.0,13.0,148500.0,1343.8914027149322,16.09090909090909,0.1818181818181818,1.606060606060606,2970,531,6,0.02,2.21,1.8,0.06,23.558,54.0,3,23.818181818181817,0.0006060606060606061,0.6327272727272728,0.004343110593110593,0.9073254665686203,1.0,1.1327272727272728
Mitchell,DEF,Crystal Palace,5.0,1.9,5.3,0,1,1,2,0,2,0,12,126,35.0,16.0,19.0,39.0,22.0,17.0,25890.90909090909,778.1420765027323,14.662921348314606,0.2528089887640449,0.0,2848,464,8,0.11,3.66,3.6,3.08,41.082,54.0,3,25.2,0.0034761235955056177,0.8560000000000001,0.024910362197493513,0.3156975588642802,0.4527060783533107,1.0823530391766554
Gabriel,DEF,Arsenal,6.1,21.5,4.7,1,2,3,2,3,5,0,14,177,62.0,37.0,25.0,25.0,12.0,13.0,29312.5,1061.085972850679,23.29637526652452,0.9594882729211088,0.0,2345,607,25,0.08,2.21,2.6,3.6159999999999997,17.078,54.0,3,29.016393442622952,0.003070362473347548,0.5639344262295083,0.02200262424143021,0.9073254665686203,1.0,1.0639344262295083
Cherki,MID,Man City,6.4,4.2,2.3,1,3,4,6,5,11,0,8,123,69.0,41.0,28.0,33.0,14.0,19.0,2916.981132075472,1862.6506024096384,31.028460543337644,0.9314359637774904,0.0,1546,533,16,0.53,0.83,4.8,10.552,18.146,55.8,3,19.21875,0.03085381630012937,0.5937499999999999,0.22110253507811722,1.0,0.5559852905969355,1.0432461407851528
Szoboszlai,MID,Liverpool,6.5,3.1,5.7,3,2,5,1,3,4,0,9,133,54.0,29.0,25.0,43.0,17.0,26.0,11128.0,891.6666666666666,20.96333572969087,0.5499640546369519,0.0,2782,648,17,0.25,3.12,4.8,9.102,35.796,72.0,4,20.46153846153846,0.008087706685837527,0.7938461538461539,0.057957577559033344,0.6248896067173112,0.3706115837947089,1.0386384260987778
Roefs,GKP,Sunderland,4.5,1.4,5.7,0,0,0,0,0,0,97,9,122,36.0,23.0,13.0,45.0,19.0,26.0,,1010.8695652173914,16.322580645161292,0.3870967741935484,3.129032258064516,2790,506,12,0.0,2.76,2.4,0.1,42.9,54.0,3,27.11111111111111,0.0,0.8266666666666667,0.0,0.139528564151641,0.40802777189533745,1.0306805526143354
Scott,MID,Bournemouth,5.0,0.1,2.3,1,2,3,1,1,2,0,9,125,49.0,24.0,25.0,51.0,19.0,32.0,9915.384615384615,1156.053811659193,19.44530643910008,0.3141970519782777,0.0,2578,557,9,0.26,2.23,4.8,5.656000000000001,40.736000000000004,90.0,5,25.0,0.009076803723816912,0.76,0.0650455779674166,0.5779804497141106,0.28775700869183335,0.9915636674852761
João Pedro,FWD,Chelsea,7.7,65.3,8.7,7,7,14,2,7,9,0,10,166,60.0,30.0,30.0,46.0,25.0,21.0,1592.0,1016.1702127659574,25.477386934673365,1.0552763819095476,0.0,2388,676,28,1.5,2.35,1.2,15.456,31.808,49.6,3,21.558441558441558,0.05653266331658291,0.5454545454545454,0.40512055469655966,0.7334131809712697,0.27142922584090673,0.9844534084079416
Garner,MID,Everton,5.0,0.3,5.3,1,1,2,3,3,6,0,11,145,43.0,25.0,18.0,45.0,27.0,18.0,17429.41176470588,528.1639928698752,21.80897738778265,0.3948700641241984,0.0,2963,718,13,0.17,5.61,3.2,6.938,46.898,72.0,4,29.0,0.005163685453931826,0.808,0.03700365404086295,0.4069545043928433,0.2921539201461781,0.9670857208558835
Semenyo,MID,Bournemouth,7.4,33.9,7.7,8,7,15,4,2,6,0,10,181,49.0,24.0,25.0,51.0,19.0,32.0,1453.3333333333333,990.909090909091,19.11785462244178,0.5398729710656316,0.0,2834,602,17,1.95,2.86,1.8,12.7,42.194,63.6,4,24.45945945945946,0.06192660550458716,0.5621621621621622,0.44377425899788286,0.5779804497141106,0.28775700869183335,0.9641537361111482
Virgil,DEF,Liverpool,6.0,27.4,4.7,1,3,4,0,1,1,0,10,152,54.0,29.0,25.0,43.0,17.0,26.0,14142.857142857143,951.9230769230768,16.12121212121212,0.303030303030303,0.0,2970,532,10,0.21,3.12,4.4,4.0200000000000005,37.796,72.0,4,25.333333333333332,0.006363636363636363,0.7533333333333334,0.04560266122766122,0.6248896067173112,0.3706115837947089,0.9386391252306878
Chalobah,DEF,Chelsea,5.1,7.8,9.0,1,2,3,1,0,1,0,9,133,60.0,30.0,30.0,46.0,25.0,21.0,3440.2597402597403,1344.6700507614214,17.157417893544732,0.2378255945639864,0.0,2649,505,7,0.77,1.97,0.8,2.33,37.006,37.8,2,26.078431372549023,0.026160815402038507,0.8,0.18747186892005693,0.7334131809712697,0.27142922584090673,0.9357146129204534
Casemiro,MID,Man Utd,5.5,0.2,2.3,6,2,8,4,0,4,0,9,148,58.0,31.0,27.0,45.0,19.0,26.0,13617.647058823528,723.4375,22.12095032397408,0.6609071274298056,0.0,2315,569,17,0.17,3.2,4.2,7.794,25.6,70.2,4,26.90909090909091,0.006609071274298057,0.6254545454545455,0.047361480312344245,0.7286853940359839,0.36638562798154056,0.9018070995076948
