Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
João Pedro,Chelsea,FWD,7.8,37,4.743589743589744,0.29470588235294115,1.0666666666666667,1.4858361193266174
Haaland,Man City,FWD,14.2,62,4.366197183098592,1.0681908548707755,0.6394366197183099,1.4394366197183097
Thiago,Brentford,FWD,6.0,30,5.0,0.25506072874493924,0.68,1.0284592345465395
Isidor,Sunderland,FWD,5.5,27,4.909090909090909,0.11003134796238245,0.7490909090909091,0.9691231855269711
Ekitiké,Liverpool,FWD,8.8,32,3.6363636363636362,0.392054794520548,0.4818181818181818,0.9271121516080263
Richarlison,Spurs,FWD,6.7,31,4.626865671641791,0.20800915331807782,0.4597014925373134,0.8274569357366939
