Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,Bonus,GW Points,Transfers In,Transfers Out,Next Fixture
Raya,GKP,Arsenal,6.0,35.5,3.7,a,90,0,0,2,1,0,0,0.04,0.00,0.04,10.97,0,0,0,0,0,0,1,True,2,1,Brighton,21.8,10.0,0.0,3.2,11,0,2,53156,63569,Aston Villa (Away)
Arrizabalaga,GKP,Arsenal,4.1,0.4,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,573,1083,Aston Villa (Away)
Hein,GKP,Arsenal,4.0,0.2,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,567,Aston Villa (Away)
Setford,GKP,Arsenal,3.9,0.3,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,2512,1198,Aston Villa (Away)
Gabriel,DEF,Arsenal,6.3,14.1,0.2,a,19,0,0,0,0,1,2,0.69,0.84,1.53,6.49,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.2,4.0,0.3,2,0,1,2763,76597,Aston Villa (Away)
Saliba,DEF,Arsenal,5.9,11.6,1.7,a,90,0,0,0,1,0,0,0.28,0.29,0.57,6.15,0,0,0,0,0,0,1,True,2,1,Brighton,10.4,0.8,2.0,1.3,10,0,2,81652,14239,Aston Villa (Away)
Calafiori,DEF,Arsenal,5.7,9.6,2.3,d,0,0,0,0,0,1,2,0.36,2.49,2.85,7.09,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,82716,20873,Aston Villa (Away)
J.Timber,DEF,Arsenal,6.4,29.5,2.3,d,0,0,0,0,0,2,3,0.81,3.76,4.57,8.76,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,156936,67920,Aston Villa (Away)
Kiwior,DEF,Arsenal,5.4,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,2,1,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,30,Aston Villa (Away)
Lewis-Skelly,DEF,Arsenal,5.1,1.6,0.5,a,70,0,0,0,1,0,0,0.06,0.05,0.11,3.04,0,0,0,0,1,0,1,True,2,1,Brighton,7.4,2.1,4.0,1.4,4,0,1,3059,16070,Aston Villa (Away)
