Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,Bonus,GW Points,Transfers In,Transfers Out,Next Fixture
Raya,GKP,Arsenal,5.9,32.3,3.0,a,90,0,0,3,1,0,0,0.04,0.00,0.04,7.03,0,0,0,0,0,0,1,False,1,1,Chelsea,20.0,0.0,0.0,2.0,12,0,3,41034,78344,Brentford (Away)
Arrizabalaga,GKP,Arsenal,4.2,0.4,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,238,1416,Brentford (Away)
Hein,GKP,Arsenal,4.0,0.3,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,773,Brentford (Away)
Setford,GKP,Arsenal,3.9,0.2,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,280,649,Brentford (Away)
Gabriel,DEF,Arsenal,6.4,21.4,3.2,i,0,0,0,0,0,1,2,0.69,0.82,1.51,6.17,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,3915,1024683,Brentford (Away)
Saliba,DEF,Arsenal,6.0,12.9,2.2,d,0,0,0,0,0,0,0,0.24,0.29,0.53,4.72,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,74221,30698,Brentford (Away)
Calafiori,DEF,Arsenal,5.8,14.7,2.2,a,45,0,0,0,0,1,2,0.29,2.31,2.60,5.18,0,0,0,0,1,0,1,False,1,1,Chelsea,15.0,1.2,0.0,1.6,5,0,0,47042,81003,Brentford (Away)
J.Timber,DEF,Arsenal,6.4,32.5,3.5,a,90,0,0,0,1,2,3,0.71,2.88,3.59,5.93,0,0,0,0,0,0,1,False,1,1,Chelsea,10.2,3.1,6.0,1.9,8,0,2,370539,47350,Brentford (Away)
Kiwior,DEF,Arsenal,5.4,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,41,Brentford (Away)
Lewis-Skelly,DEF,Arsenal,5.1,1.6,0.5,a,45,0,0,0,1,0,0,0.02,0.00,0.02,1.47,0,0,0,0,1,0,0,False,1,1,Chelsea,0.4,2.2,0.0,0.3,-1,0,0,1262,5307,Brentford (Away)
White,DEF,Arsenal,5.3,0.4,0.0,a,0,0,0,0,0,0,0,0.01,0.01,0.02,0.87,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,751,1311,Brentford (Away)
Clarke,DEF,Arsenal,3.8,0.5,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,1798,1782,Brentford (Away)
Kacurri,DEF,Arsenal,3.9,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,344,Brentford (Away)
Nichols,DEF,Arsenal,3.8,0.2,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,247,636,Brentford (Away)
Saka,MID,Arsenal,10.1,17.8,6.0,a,90,0,1,0,1,3,1,2.93,2.71,5.64,5.29,0,0,0,0,0,0,1,False,1,1,Chelsea,22.0,16.6,27.0,6.6,21,0,5,82727,117746,Brentford (Away)
Ødegaard,MID,Arsenal,7.8,1.4,0.2,a,33,0,0,0,0,0,1,0.85,0.14,0.99,2.63,0,0,0,0,0,0,0,False,1,1,Chelsea,1.4,2.8,0.0,0.4,3,0,1,2085,1679,Brentford (Away)
Madueke,MID,Arsenal,6.8,0.6,0.5,a,33,0,0,0,0,0,0,0.90,0.29,1.19,2.33,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,2.1,4.0,0.6,2,0,1,3452,784,Brentford (Away)
Martinelli,MID,Arsenal,6.8,0.8,0.2,a,56,0,0,0,1,1,0,0.09,0.86,0.95,2.49,0,0,0,0,0,0,1,False,1,1,Chelsea,2.2,1.3,9.0,1.3,3,0,1,2608,2337,Brentford (Away)
Trossard,MID,Arsenal,6.9,1.0,6.8,d,0,0,0,0,0,3,3,1.23,2.14,3.37,3.67,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,36751,22869,Brentford (Away)
Rice,MID,Arsenal,7.0,23.3,6.2,a,90,0,0,0,1,2,5,2.83,1.44,4.27,6.31,0,0,0,0,0,0,1,False,1,1,Chelsea,28.0,19.3,0.0,4.7,16,0,4,214309,70925,Brentford (Away)
Merino,MID,Arsenal,5.9,1.0,5.0,a,90,1,0,0,1,2,2,0.69,1.43,2.12,3.50,0,0,0,0,0,0,1,False,1,1,Chelsea,34.2,2.3,35.0,7.2,28,2,9,10669,12087,Brentford (Away)
Fábio Vieira,MID,Arsenal,5.4,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,17,Brentford (Away)
Nørgaard,MID,Arsenal,5.2,0.1,0.2,a,0,0,0,0,0,0,0,0.00,0.05,0.05,0.05,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,121,513,Brentford (Away)
Nwaneri,MID,Arsenal,5.1,0.1,0.5,a,0,0,0,0,0,0,0,0.08,0.23,0.31,0.73,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,155,600,Brentford (Away)
Zubimendi,MID,Arsenal,5.3,2.7,2.5,a,56,0,0,0,1,2,1,1.02,0.59,1.61,6.29,0,0,0,0,1,0,1,False,1,1,Chelsea,2.2,11.4,0.0,1.4,1,0,0,6998,30997,Brentford (Away)
Kabia,MID,Arsenal,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,276,Brentford (Away)
Sambi,MID,Arsenal,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,125,Brentford (Away)
Havertz,FWD,Arsenal,7.3,0.3,0.0,d,0,0,0,0,0,0,0,0.01,0.00,0.01,0.82,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,164,289,Brentford (Away)
G.Jesus,FWD,Arsenal,6.4,0.0,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,1,1,Chelsea,0.0,0.0,0.0,0.0,0,0,0,115,195,Brentford (Away)
