Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,Bonus,GW Points,Transfers In,Transfers Out,Next Fixture
Raya,GKP,Arsenal,5.9,33.2,4.0,a,90,0,0,1,0,0,0,0.05,0.00,0.05,16.63,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,9.6,0.0,0.0,1.0,24,0,6,91776,110833,Sunderland (Away)
Arrizabalaga,GKP,Arsenal,4.1,0.4,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,363,596,Sunderland (Away)
Hein,GKP,Arsenal,4.0,0.2,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,189,Sunderland (Away)
Setford,GKP,Arsenal,3.9,0.2,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,272,869,Sunderland (Away)
Gabriel,DEF,Arsenal,7.0,39.0,6.4,a,90,0,0,0,0,3,2,0.83,1.72,2.55,10.15,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,33.6,0.8,19.0,5.3,30,0,8,313255,26967,Sunderland (Away)
Saliba,DEF,Arsenal,6.0,12.4,4.6,a,90,0,0,0,0,0,0,0.57,0.38,0.95,11.81,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,10.2,3.1,0.0,1.3,21,0,6,57655,44993,Sunderland (Away)
Calafiori,DEF,Arsenal,5.6,6.1,0.2,a,15,0,0,0,0,1,2,0.37,2.74,3.11,7.12,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.2,0.6,7.0,0.8,2,0,1,14719,18078,Sunderland (Away)
J.Timber,DEF,Arsenal,6.3,28.0,4.0,a,90,0,0,0,0,2,4,1.09,4.30,5.39,12.42,1,0,0,0,1,0,1,False,0.0,4.0,Leeds,6.6,16.5,9.0,3.2,20,0,5,148485,184251,Sunderland (Away)
Kiwior,DEF,Arsenal,5.4,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,17,Sunderland (Away)
Lewis-Skelly,DEF,Arsenal,5.1,1.5,0.2,a,0,0,0,0,0,0,0,0.06,0.05,0.11,5.26,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,1295,3336,Sunderland (Away)
White,DEF,Arsenal,5.1,0.6,1.4,a,0,0,0,0,0,0,1,0.49,0.43,0.92,6.13,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,4701,4722,Sunderland (Away)
Clarke,DEF,Arsenal,3.8,0.4,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,500,1265,Sunderland (Away)
Kacurri,DEF,Arsenal,3.9,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,63,Sunderland (Away)
Nichols,DEF,Arsenal,3.8,0.2,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,146,335,Sunderland (Away)
Saka,MID,Arsenal,10.0,14.8,2.0,d,0,0,0,0,0,4,7,5.11,5.58,10.69,9.95,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,49867,362220,Sunderland (Away)
Ødegaard,MID,Arsenal,7.8,2.2,3.8,a,29,0,1,0,0,1,5,2.83,0.97,3.80,11.38,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,20.0,26.2,0.0,4.6,16,0,4,8985,25429,Sunderland (Away)
Madueke,MID,Arsenal,6.8,0.7,3.2,a,60,0,2,0,0,0,2,1.88,0.60,2.48,7.50,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,23.4,34.5,6.0,6.4,32,2,11,879,1799,Sunderland (Away)
Martinelli,MID,Arsenal,6.8,0.9,2.0,a,29,0,1,0,0,1,2,0.52,2.68,3.20,5.59,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,22.2,14.2,17.0,5.3,19,0,4,2539,3073,Sunderland (Away)
Trossard,MID,Arsenal,6.8,1.4,1.8,a,80,0,0,0,0,5,4,2.21,4.26,6.47,8.94,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,11.0,15.5,4.0,3.1,13,0,3,17328,30937,Sunderland (Away)
Rice,MID,Arsenal,7.5,32.2,5.4,a,90,0,0,0,0,4,7,5.09,2.89,7.98,13.16,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,19.2,44.4,4.0,6.8,20,0,3,299564,166435,Sunderland (Away)
Merino,MID,Arsenal,5.5,1.4,1.8,a,0,0,0,0,0,4,3,1.45,2.99,4.44,6.59,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,8805,14753,Sunderland (Away)
Fábio Vieira,MID,Arsenal,5.4,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,6,Sunderland (Away)
Nørgaard,MID,Arsenal,5.1,0.1,0.0,a,0,0,0,0,0,0,0,0.00,0.05,0.05,2.16,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,226,229,Sunderland (Away)
Nwaneri,MID,Arsenal,5.0,0.1,0.0,u,0,0,0,0,0,0,0,0.08,0.23,0.31,0.73,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,554,Sunderland (Away)
Zubimendi,MID,Arsenal,5.2,2.2,4.6,a,90,1,0,0,0,4,1,1.48,2.53,4.01,15.46,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,45.4,2.6,35.0,8.3,35,3,11,12344,13741,Sunderland (Away)
Kabia,MID,Arsenal,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,50,Sunderland (Away)
Sambi,MID,Arsenal,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,0,29,Sunderland (Away)
Havertz,FWD,Arsenal,7.3,0.4,0.4,a,60,0,0,0,0,0,0,0.02,0.00,0.02,0.94,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,7.6,10.7,2.0,2.0,11,0,2,11934,1696,Sunderland (Away)
G.Jesus,FWD,Arsenal,6.4,0.5,1.8,a,14,1,0,0,0,2,0,0.15,1.74,1.89,3.22,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,38.4,0.3,45.0,8.4,26,0,5,23727,8158,Sunderland (Away)
Eze,MID,Arsenal,7.2,8.1,0.6,a,9,0,0,0,0,4,3,1.67,2.54,4.21,6.43,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,1.6,0.1,0.0,0.2,4,0,1,4341,46668,Sunderland (Away)
Mosquera,DEF,Arsenal,5.3,0.1,0.0,a,0,0,0,0,0,0,0,0.43,0.00,0.43,2.68,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,581,254,Sunderland (Away)
Gyökeres,FWD,Arsenal,8.7,9.4,2.8,a,75,1,0,0,0,6,0,0.91,6.96,7.87,9.81,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,36.2,12.4,44.0,9.3,32,2,8,28466,21442,Sunderland (Away)
Dowman,MID,Arsenal,4.2,0.4,0.0,i,0,0,0,0,0,0,1,0.02,0.14,0.16,0.12,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,6307,3411,Sunderland (Away)
Harriman-Annous,MID,Arsenal,4.4,0.0,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,35,29,Sunderland (Away)
Hincapie,DEF,Arsenal,5.1,0.6,1.6,a,74,0,0,0,0,0,0,0.76,0.00,0.76,10.01,1,0,0,0,0,0,1,False,0.0,4.0,Leeds,13.2,2.1,4.0,1.9,21,0,6,3899,15180,Sunderland (Away)
Salmon,DEF,Arsenal,4.0,0.0,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,False,0.0,4.0,Leeds,0.0,0.0,0.0,0.0,0,0,0,72,69,Sunderland (Away)
Martinez,GKP,Aston Villa,5.0,3.3,3.2,a,0,0,0,0,0,0,0,0.04,0.00,0.04,25.01,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,40101,16117,Brentford (Away)
M.Bizot,GKP,Aston Villa,4.2,0.4,0.4,a,0,0,0,0,0,0,0,0.00,0.00,0.00,8.53,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,311,842,Brentford (Away)
Gauci,GKP,Aston Villa,4.0,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,131,Brentford (Away)
Marschall,GKP,Aston Villa,4.0,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,8,Brentford (Away)
Cash,DEF,Aston Villa,4.8,11.7,3.8,a,0,0,0,0,0,3,2,1.92,0.75,2.67,29.43,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,129439,56115,Brentford (Away)
Digne,DEF,Aston Villa,4.5,1.6,2.8,a,0,0,0,0,0,0,4,2.19,0.54,2.73,18.54,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,7017,7184,Brentford (Away)
Konsa,DEF,Aston Villa,4.4,7.5,3.4,a,0,0,0,0,0,0,0,0.41,0.38,0.79,32.01,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,43086,21685,Brentford (Away)
Maatsen,DEF,Aston Villa,4.2,0.5,2.0,a,0,0,0,0,0,0,0,1.24,0.68,1.92,15.13,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,5710,2107,Brentford (Away)
Mings,DEF,Aston Villa,4.3,0.6,0.2,a,0,0,0,0,0,0,0,0.09,0.33,0.42,8.91,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,1442,455,Brentford (Away)
Pau,DEF,Aston Villa,4.3,0.3,1.6,a,0,0,0,0,0,0,1,0.27,0.43,0.70,16.74,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,3247,1017,Brentford (Away)
A.García,DEF,Aston Villa,3.9,0.2,0.2,i,0,0,0,0,0,0,0,0.01,0.00,0.01,1.52,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,225,861,Brentford (Away)
Alex Moreno,DEF,Aston Villa,4.0,1.7,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,1934,Brentford (Away)
Bogarde,DEF,Aston Villa,4.0,0.5,0.6,a,0,0,0,0,0,0,0,0.14,0.00,0.14,8.34,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,1651,1871,Brentford (Away)
Sousa,DEF,Aston Villa,3.8,0.3,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,1399,680,Brentford (Away)
Yasin,DEF,Aston Villa,4.0,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,105,Brentford (Away)
Rogers,MID,Aston Villa,7.7,31.6,3.6,a,0,0,0,0,0,7,5,2.46,4.33,6.79,32.84,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,231607,161702,Brentford (Away)
Tielemans,MID,Aston Villa,5.9,0.9,3.0,i,0,0,0,0,0,0,4,2.53,0.97,3.50,23.03,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,2611,25617,Brentford (Away)
Bailey,MID,Aston Villa,5.5,0.1,0.2,a,0,0,0,0,0,0,0,0.03,0.02,0.05,0.25,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,792,137,Brentford (Away)
Buendía,MID,Aston Villa,5.3,0.5,3.2,a,0,0,0,0,0,5,2,1.18,2.16,3.34,15.58,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,27119,4243,Brentford (Away)
Iling Jr,MID,Aston Villa,5.5,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,6,Brentford (Away)
Malen,MID,Aston Villa,5.1,0.5,0.4,u,0,0,0,0,0,4,2,0.35,4.03,4.38,10.59,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,5800,Brentford (Away)
McGinn,MID,Aston Villa,5.4,0.7,3.8,i,0,0,0,0,0,3,2,1.96,2.52,4.48,26.58,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,136,30033,Brentford (Away)
Barkley,MID,Aston Villa,4.8,0.0,0.0,d,0,0,0,0,0,1,1,0.16,0.43,0.59,1.41,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,23,58,Brentford (Away)
Barrenechea,MID,Aston Villa,5.0,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,0,Brentford (Away)
Dobbin,MID,Aston Villa,5.0,0.0,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,5,Brentford (Away)
Kamara,MID,Aston Villa,4.9,0.3,1.4,i,0,0,0,0,0,1,3,0.84,0.53,1.36,20.80,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,50,7027,Brentford (Away)
Onana,MID,Aston Villa,4.8,0.6,1.0,a,0,0,0,0,0,2,0,0.22,0.43,0.65,16.14,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,3850,1860,Brentford (Away)
Broggio,MID,Aston Villa,4.4,0.3,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,298,603,Brentford (Away)
Dendoncker,MID,Aston Villa,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,57,Brentford (Away)
Jimoh-Aloba,MID,Aston Villa,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.61,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,328,249,Brentford (Away)
Young,MID,Aston Villa,4.3,0.6,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,3197,3347,Brentford (Away)
Watkins,FWD,Aston Villa,8.8,11.7,3.8,d,0,0,0,0,0,8,2,0.91,9.40,10.31,27.78,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,128883,259443,Brentford (Away)
Redmond,FWD,Aston Villa,4.5,0.3,0.0,u,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,178,Brentford (Away)
Elliott,MID,Aston Villa,5.1,0.2,0.0,a,0,0,0,0,0,0,0,0.06,0.19,0.25,1.74,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,549,370,Brentford (Away)
Sancho,MID,Aston Villa,5.8,0.2,1.0,a,0,0,0,0,0,0,0,0.60,0.38,0.98,6.03,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,1726,860,Brentford (Away)
Guessand,MID,Aston Villa,6.2,0.0,0.4,a,0,0,0,0,0,0,2,0.41,1.19,1.60,8.82,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,312,140,Brentford (Away)
Wright,GKP,Aston Villa,3.9,0.6,0.0,a,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,464,1205,Brentford (Away)
Douglas Luiz,MID,Aston Villa,4.9,0.1,0.2,a,0,0,0,0,0,0,1,0.64,0.14,0.78,4.45,0,0,0,0,0,0,0,True,,,Brentford,0.0,0.0,0.0,0.0,0,0,0,1974,582,Brentford (Away)
