Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Semenyo,MID,Bournemouth,7.4,33.9,7.7,1,2,3,2,0,2,0,2,36,6.0,3.0,3.0,5.0,1.0,4.0,184.6153846153846,125.87412587412588,24.0,1.5,0.0,360,96,6,1.95,2.86,9.0,1.8599999999999999,2.8049999999999997,90.0,4,4.864864864864865,0.4875,1.145945945945946,0.44010416666666663,0.6411056689066511,0.360917362546768,1.5683798050632738
Burn,DEF,Newcastle,5.0,5.6,5.7,0,0,0,0,0,0,0,3,23,4.0,3.0,1.0,5.0,3.0,2.0,3600.0,226.41509433962264,19.0,0.25,0.0,360,76,1,0.1,1.59,5.75,0.085,1.1949999999999998,90.0,4,4.6,0.025,1.1460000000000001,0.022569444444444444,0.34246142413926234,0.8027701036278542,1.5473850518139272
Muñoz,DEF,Crystal Palace,5.6,13.1,6.3,0,0,0,1,0,1,0,3,24,4.0,1.0,3.0,1.0,1.0,0.0,423.5294117647059,98.36065573770492,23.25,0.25,0.0,360,93,1,0.85,3.66,6.0,0.615,2.9524999999999997,90.0,4,4.285714285714286,0.2125,1.0928571428571427,0.19184027777777776,0.4025106014321889,0.8639151837994695,1.5248147347568775
Mitchell,DEF,Crystal Palace,5.0,1.9,5.3,0,0,0,0,0,0,0,3,22,4.0,1.0,3.0,1.0,1.0,0.0,3272.7272727272725,98.36065573770492,24.25,0.25,0.0,360,97,1,0.11,3.66,5.5,0.10999999999999999,2.9524999999999997,90.0,4,4.4,0.0275,1.084,0.024826388888888887,0.4025106014321889,0.8639151837994695,1.5159575918997348
Anthony,MID,Burnley,5.5,0.9,7.0,1,1,2,1,0,1,0,2,24,4.0,2.0,2.0,7.0,1.0,6.0,177.77777777777777,52.38095238095238,19.176136363636363,0.5113636363636364,0.0,352,75,2,1.98,6.72,6.0,1.615,5.09,88.0,4,4.363636363636363,0.50625,1.1636363636363638,0.45703124999999994,0.40373790227016615,0.04471444388780381,1.5106086919309218
Cullen,MID,Burnley,5.0,1.9,6.7,1,0,1,1,0,1,0,2,23,4.0,2.0,2.0,7.0,1.0,6.0,553.3333333333334,49.40476190476191,24.126506024096383,0.8132530120481928,0.0,332,89,3,0.6,6.72,5.75,0.5075000000000001,5.015,83.0,4,4.6,0.16265060240963855,1.226,0.14683734939759036,0.40373790227016615,0.04471444388780381,1.4333850730234738
Schär,DEF,Newcastle,5.5,3.0,5.0,0,0,0,0,0,0,0,3,23,4.0,3.0,1.0,5.0,3.0,2.0,2916.666666666667,286.88524590163934,21.085714285714285,0.0,0.0,350,82,0,0.12,1.22,5.75,0.10250000000000001,0.9175,87.5,4,4.181818181818182,0.030857142857142857,0.9909090909090907,0.027857142857142855,0.34246142413926234,0.8027701036278542,1.3922941427230178
Rodon,DEF,Leeds,4.0,2.9,5.3,0,0,0,0,0,0,0,2,20,1.0,1.0,0.0,6.0,0.0,6.0,,92.54498714652956,16.0,0.5,0.0,360,64,2,0.0,3.89,5.0,0.0,3.1525000000000003,90.0,4,5.0,0.0,1.28,0.0,0.11074371117959786,0.20115192631393727,1.3805759631569687
Haaland,FWD,Man City,14.1,33.3,8.0,2,3,5,0,0,0,0,2,37,8.0,3.0,5.0,4.0,2.0,2.0,81.25,89.8936170212766,39.142011834319526,2.396449704142012,0.0,338,147,9,4.16,3.76,9.25,3.7199999999999998,2.6875,84.5,4,2.624113475177305,1.1076923076923078,0.6205673758865249,1.0,0.8844311073426234,0.30162662032217397,1.380118263456443
Trippier,DEF,Newcastle,5.0,2.8,4.3,0,0,0,0,0,0,0,3,21,4.0,3.0,1.0,5.0,3.0,2.0,1975.0,274.7826086956522,21.93037974683544,0.569620253164557,0.0,316,77,2,0.16,1.15,5.25,0.1775,0.8825,79.0,4,4.2,0.04556962025316456,0.974,0.04113924050632911,0.34246142413926234,0.8027701036278542,1.375385051813927
