Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC
Groß,MID,Brighton,5.5,13.0,2.0,1,2,3,1,3,4,0,3,47,16.0,8.0,8.0,5.0,1.0,4.0,1666.6666666666665,1551.7241379310346,33.2,1.8,0.0,450,166,9,0.27,0.29
Tarkowski,DEF,Everton,6.0,8.7,6.0,0,1,1,1,0,1,0,3,43,10.0,5.0,5.0,4.0,2.0,2.0,9000.0,229.59183673469389,27.6,1.4,0.0,450,138,7,0.05,1.96
Bogle,DEF,Leeds,4.5,0.6,6.0,1,1,2,0,0,0,0,4,42,7.0,5.0,2.0,3.0,2.0,1.0,,553.030303030303,30.08219178082192,1.4794520547945205,0.0,365,122,6,0.0,0.66
Schade,MID,Brentford,6.0,3.5,3.0,0,3,3,2,0,2,0,2,39,10.0,7.0,3.0,4.0,1.0,3.0,843.3962264150942,784.2105263157896,27.78523489932886,1.2080536912751678,0.0,447,138,6,0.53,0.57
Haaland,FWD,Man City,15.5,67.9,2.0,2,3,5,0,0,0,0,2,39,18.0,12.0,6.0,9.0,7.0,2.0,592.1052631578947,692.3076923076923,33.4,1.8,0.0,450,167,9,0.76,0.65
De Cuyper,DEF,Brighton,4.6,7.8,17.0,1,0,1,2,1,3,0,3,38,16.0,8.0,8.0,5.0,1.0,4.0,251.7857142857143,1458.6206896551726,28.085106382978722,1.0638297872340425,0.0,423,132,5,1.68,0.29
Gvardiol,DEF,Man City,5.5,13.5,9.0,1,0,1,1,2,3,0,2,37,18.0,12.0,6.0,9.0,7.0,2.0,1808.3333333333335,667.6923076923076,27.995391705069125,1.2442396313364055,0.0,434,135,6,0.24,0.65
Tzolakis,GKP,Hull City,4.5,2.7,10.0,0,0,0,0,0,0,17,3,34,7.0,2.0,5.0,5.0,0.0,5.0,,245.9016393442623,25.8,1.2,3.4,450,129,6,0.0,1.83
Cherki,MID,Man City,7.5,10.5,8.0,1,2,3,2,0,2,0,1,34,18.0,12.0,6.0,9.0,7.0,2.0,604.0,3020.0,44.70198675496689,1.490066225165563,0.0,302,150,5,0.5,0.1
Semenyo,MID,Man City,8.5,24.2,2.0,2,0,2,2,1,3,0,2,33,18.0,12.0,6.0,9.0,7.0,2.0,5625.0,692.3076923076923,29.4,0.4,0.0,450,147,2,0.08,0.65
João Pedro,FWD,Chelsea,7.6,67.8,11.0,2,1,3,2,1,3,0,0,33,10.0,6.0,4.0,12.0,5.0,7.0,521.7391304347826,270.6766917293233,35.25,1.75,0.0,360,141,7,0.69,1.33
Isak,FWD,Liverpool,9.0,16.5,2.0,1,3,4,0,0,0,0,3,33,7.0,2.0,5.0,4.0,2.0,2.0,375.45454545454544,261.3924050632911,28.983050847457626,1.7433414043583535,0.0,413,133,8,1.1,1.58
Gakpo,MID,Liverpool,7.0,6.1,12.0,0,1,1,1,2,3,0,2,32,7.0,2.0,5.0,4.0,2.0,2.0,822.2222222222222,234.1772151898734,27.486486486486488,1.2162162162162162,0.0,370,113,5,0.45,1.58
Saka,MID,Arsenal,9.5,10.4,9.0,1,2,3,0,0,0,0,3,32,8.0,5.0,3.0,4.0,1.0,3.0,577.7777777777778,6933.333333333334,29.639423076923077,0.8653846153846154,0.0,416,137,4,0.72,0.06
Vuskovic,DEF,Brighton,5.0,2.5,6.0,1,0,1,0,0,0,0,3,32,16.0,8.0,8.0,5.0,1.0,4.0,2731.25,1506.8965517241381,20.183066361556065,0.41189931350114417,0.0,437,98,2,0.16,0.29
B.Fernandes,MID,Man Utd,12.0,48.4,2.0,3,0,3,1,0,1,0,0,31,12.0,9.0,3.0,8.0,3.0,5.0,1323.5294117647059,445.54455445544556,29.6,0.6,0.0,450,148,3,0.34,1.01
Tavernier,MID,Bournemouth,6.0,2.4,10.0,1,2,3,0,0,0,0,0,31,6.0,3.0,3.0,8.0,4.0,4.0,883.3333333333334,188.44444444444446,32.47641509433962,1.6981132075471699,0.0,424,153,8,0.48,2.25
Belloumi,MID,Hull City,5.0,0.6,3.0,0,2,2,0,2,2,0,3,31,7.0,2.0,5.0,5.0,0.0,5.0,4925.0,215.30054644808743,25.35532994923858,0.45685279187817257,0.0,394,111,2,0.08,1.83
Hall,DEF,Newcastle,5.0,4.1,3.0,1,0,1,1,0,1,0,1,31,11.0,8.0,3.0,10.0,6.0,4.0,1282.857142857143,150.6711409395973,25.456570155902003,1.2026726057906458,0.0,449,127,6,0.35,2.98
Raya,GKP,Arsenal,6.0,38.3,6.0,0,0,0,0,0,0,9,3,30,8.0,5.0,3.0,4.0,1.0,3.0,,2250.0,20.8,0.6,1.8,450,104,3,0.0,0.2
Guéhi,DEF,Man City,6.0,19.4,10.0,1,0,1,1,0,1,0,2,30,18.0,12.0,6.0,9.0,7.0,2.0,371.90082644628103,692.3076923076923,22.8,0.8,0.0,450,114,4,1.21,0.65
Scott,MID,Bournemouth,6.0,1.5,2.0,1,0,1,0,2,2,0,1,30,6.0,3.0,3.0,8.0,4.0,4.0,44600.0,198.22222222222223,26.031390134529147,1.0089686098654709,0.0,446,129,5,0.01,2.25
Rogers,MID,Chelsea,7.5,26.1,8.0,1,2,3,1,0,1,0,0,29,10.0,6.0,4.0,12.0,5.0,7.0,412.2641509433962,352.4193548387097,27.80320366132723,0.41189931350114417,0.0,437,135,2,1.06,1.24
Calafiori,DEF,Arsenal,5.6,41.6,9.0,0,0,0,1,1,2,0,3,29,8.0,5.0,3.0,4.0,1.0,3.0,3200.0,6933.333333333334,16.442307692307693,0.4326923076923077,0.0,416,76,2,0.13,0.06
Ødegaard,MID,Arsenal,6.6,11.5,11.0,2,0,2,0,0,0,0,3,29,8.0,5.0,3.0,4.0,1.0,3.0,1216.1290322580646,6283.333333333334,32.705570291777185,1.4323607427055702,0.0,377,137,6,0.31,0.06
Palmer,MID,Chelsea,9.5,15.6,13.0,1,1,2,1,1,2,0,0,28,10.0,6.0,4.0,12.0,5.0,7.0,940.4255319148937,356.4516129032258,30.13574660633484,0.6108597285067874,0.0,442,148,3,0.47,1.24
Thomas,DEF,Coventry City,4.0,7.9,3.0,0,0,0,0,0,0,0,2,28,4.0,3.0,1.0,10.0,6.0,4.0,18533.333333333336,295.74468085106383,14.73021582733813,0.4856115107913669,0.0,556,91,3,0.03,1.88
Janelt,MID,Brentford,5.0,0.4,9.0,2,0,2,0,0,0,0,2,28,10.0,7.0,3.0,4.0,1.0,3.0,803.5714285714284,789.4736842105264,21.8,0.6,0.0,450,109,3,0.56,0.57
Gibbs-White,MID,Nott'm Forest,8.0,8.6,2.0,0,1,1,0,2,2,0,1,28,8.0,1.0,7.0,11.0,6.0,5.0,2368.4210526315787,957.4468085106383,23.2,1.2,0.0,450,116,6,0.19,0.47
Kostoulas,FWD,Brighton,5.5,0.2,1.0,1,1,2,1,2,3,0,2,28,16.0,8.0,8.0,5.0,1.0,4.0,1961.111111111111,3530.0,26.770538243626063,0.7648725212464589,0.0,353,105,3,0.18,0.1
Trafford,GKP,Leeds,5.0,4.2,9.0,0,0,0,0,0,0,20,2,28,7.0,5.0,2.0,3.0,2.0,1.0,,681.8181818181818,23.4,1.0,4.0,450,117,5,0.0,0.66
Barnes,MID,Newcastle,6.0,1.1,2.0,1,0,1,3,0,3,0,1,28,11.0,8.0,3.0,10.0,6.0,4.0,5000.0,151.00671140939596,21.0,0.6,0.0,450,105,3,0.09,2.98
Branthwaite,DEF,Everton,5.5,1.8,6.0,0,0,0,0,0,0,0,3,27,10.0,5.0,5.0,4.0,2.0,2.0,45000.0,229.59183673469389,19.4,0.0,0.0,450,97,0,0.01,1.96
A.Becker,GKP,Liverpool,5.5,3.8,2.0,0,0,0,0,0,0,14,3,27,7.0,2.0,5.0,4.0,2.0,2.0,,284.8101265822785,19.2,1.0,2.8,450,96,5,0.0,1.58
Mykolenko,DEF,Everton,4.5,1.6,6.0,0,0,0,0,0,0,0,3,27,10.0,5.0,5.0,4.0,2.0,2.0,9000.0,229.59183673469389,21.8,0.6,0.0,450,109,3,0.05,1.96
Stach,MID,Leeds,6.0,2.3,13.0,0,1,1,0,0,0,0,3,27,7.0,5.0,2.0,3.0,2.0,1.0,2980.0,677.2727272727273,17.315436241610737,0.6040268456375839,0.0,447,86,3,0.15,0.66
Ajayi,DEF,Hull City,4.0,1.8,14.0,1,0,1,0,0,0,0,3,27,7.0,2.0,5.0,5.0,0.0,5.0,813.4615384615385,491.8604651162791,16.80851063829787,0.425531914893617,0.0,423,79,2,0.52,0.86
Muharemović,DEF,Leeds,5.0,3.4,6.0,0,0,0,1,0,1,0,2,27,7.0,5.0,2.0,3.0,2.0,1.0,5000.0,681.8181818181818,20.2,0.0,0.0,450,101,0,0.09,0.66
Emersonn,FWD,Ipswich Town,5.5,1.7,9.0,1,1,2,0,1,1,0,0,26,7.0,2.0,5.0,11.0,3.0,8.0,360.22727272727275,503.1746031746032,31.230283911671926,1.7034700315457414,0.0,317,110,6,0.88,0.63
Egan,DEF,Hull City,4.0,2.0,8.0,0,0,0,0,0,0,0,3,26,7.0,2.0,5.0,5.0,0.0,5.0,,238.79781420765028,14.622425629290618,0.20594965675057209,0.0,437,71,1,0.0,1.83
Cunha,MID,Man Utd,8.0,9.4,2.0,0,1,1,2,0,2,0,1,26,12.0,9.0,3.0,8.0,3.0,5.0,904.4444444444445,402.970297029703,21.007371007371006,0.8845208845208845,0.0,407,95,4,0.45,1.01
Justin,DEF,Leeds,4.5,1.1,10.0,0,0,0,0,0,0,0,2,26,7.0,5.0,2.0,3.0,2.0,1.0,45000.0,681.8181818181818,18.2,0.8,0.0,450,91,4,0.01,0.66
Gabriel,DEF,Arsenal,8.0,29.1,5.0,0,0,0,0,0,0,0,3,25,8.0,5.0,3.0,4.0,1.0,3.0,7500.0,2250.0,18.0,0.4,0.0,450,90,2,0.06,0.2
Davis,DEF,Ipswich Town,4.0,4.9,2.0,0,2,2,0,2,2,0,0,25,7.0,2.0,5.0,11.0,3.0,8.0,45000.0,681.8181818181818,10.4,0.2,0.0,450,52,1,0.01,0.66
Virgil,DEF,Liverpool,6.5,19.6,2.0,0,0,0,0,0,0,0,3,25,7.0,2.0,5.0,4.0,2.0,2.0,1730.7692307692307,284.8101265822785,19.2,0.0,0.0,450,96,0,0.26,1.58
Mendy,DEF,Hull City,4.0,3.6,15.0,1,0,1,0,0,0,0,2,25,7.0,2.0,5.0,5.0,0.0,5.0,889.2857142857142,289.5348837209302,24.93975903614458,0.3614457831325301,0.0,249,69,1,0.28,0.86
Pickford,GKP,Everton,5.5,8.8,7.0,0,0,0,0,0,0,15,3,25,10.0,5.0,5.0,4.0,2.0,2.0,22500.0,229.59183673469389,24.2,0.2,3.0,450,121,1,0.02,1.96
Mbeumo,MID,Man Utd,8.0,36.0,2.0,1,1,2,1,0,1,0,0,25,12.0,9.0,3.0,8.0,3.0,5.0,616.4383561643835,445.54455445544556,22.0,0.6,0.0,450,110,3,0.73,1.01
Jacquet,DEF,Liverpool,5.0,2.4,1.0,0,0,0,0,0,0,0,3,24,7.0,2.0,5.0,4.0,2.0,2.0,20750.0,399.03846153846155,24.289156626506024,0.6506024096385542,0.0,415,112,3,0.02,1.04
King,GKP,Everton,4.5,0.0,0.0,2,0,2,0,0,0,0,2,24,10.0,5.0,5.0,4.0,2.0,2.0,,,23.08235294117647,0.6352941176470588,0.0,425,109,3,0.0,0.0
