Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,Bonus,GW Points,Transfers In,Transfers Out,Next Fixture,GW
Gyökeres,FWD,Arsenal,7.5,9.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Havertz,FWD,Arsenal,7.5,5.5,6.0,a,90,1,0,0,0,1,0,0.03,0.26,0.29,0.2,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,34,0,6,0,0,Coventry City (Away),1
G.Jesus,FWD,Arsenal,6.0,0.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Konsa,DEF,Arsenal,4.5,13.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Bruno G.,MID,Arsenal,7.0,4.2,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Tzolis,MID,Arsenal,6.5,25.2,6.0,a,75,0,1,0,0,0,1,0.14,0.19,0.33,0.06,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,30,0,6,0,0,Coventry City (Away),1
Martinez,GKP,Aston Villa,5.0,4.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
M.Bizot,GKP,Aston Villa,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Digne,DEF,Aston Villa,4.5,0.1,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Cash,DEF,Aston Villa,4.5,8.9,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Mings,DEF,Aston Villa,4.5,0.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Pau,DEF,Aston Villa,4.5,0.5,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Bogarde,MID,Aston Villa,5.0,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Maatsen,DEF,Aston Villa,4.5,0.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Lindelöf,DEF,Aston Villa,4.5,0.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
A.García,DEF,Aston Villa,4.0,1.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Nedeljkovic,DEF,Aston Villa,4.0,0.3,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Buendía,MID,Aston Villa,6.0,1.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Bailey,MID,Aston Villa,5.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
McGinn,MID,Aston Villa,5.5,3.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Barkley,MID,Aston Villa,5.0,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Kamara,MID,Aston Villa,5.0,0.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Onana,MID,Aston Villa,5.0,0.0,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Iling Jr,MID,Aston Villa,5.0,0.0,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Burrowes,MID,Aston Villa,4.5,0.7,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
George Hemmings,MID,Aston Villa,4.5,0.7,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Alysson,MID,Aston Villa,5.0,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Manzambi,MID,Aston Villa,6.0,0.3,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Gomes,MID,Aston Villa,5.5,0.1,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Watkins,FWD,Aston Villa,8.0,10.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Abraham,FWD,Aston Villa,5.5,0.1,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Garnacho,MID,Aston Villa,6.0,0.6,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Madjo,FWD,Aston Villa,5.5,0.5,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Ruggeri,DEF,Aston Villa,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Suzuki,GKP,Aston Villa,5.0,0.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,Brighton (Home),1
Petrović,GKP,Bournemouth,4.5,3.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Forster,GKP,Bournemouth,4.0,3.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Dennis,GKP,Bournemouth,4.0,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Hill,DEF,Bournemouth,5.5,0.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Truffert,DEF,Bournemouth,5.5,4.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Diakité,DEF,Bournemouth,5.0,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Milosavljević,DEF,Bournemouth,5.0,0.0,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Smith,DEF,Bournemouth,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
J.Araujo,DEF,Bournemouth,4.5,0.0,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Soler,DEF,Bournemouth,4.0,0.2,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Rayan,MID,Bournemouth,6.5,2.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Tavernier,MID,Bournemouth,6.0,1.6,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Scott,MID,Bournemouth,6.0,1.5,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Kluivert,MID,Bournemouth,6.0,1.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Cook,MID,Bournemouth,5.0,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Gannon-Doak,MID,Bournemouth,5.0,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Adams,MID,Bournemouth,5.0,0.2,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Brooks,MID,Bournemouth,5.0,0.1,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Christie,MID,Bournemouth,5.0,0.0,0.0,s,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Tóth.A,MID,Bournemouth,5.0,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Adli,MID,Bournemouth,5.0,0.0,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Kroupi.Jr,MID,Bournemouth,7.5,0.5,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Evanilson,FWD,Bournemouth,6.0,2.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Enes Ünal,FWD,Bournemouth,5.5,0.0,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Rodríguez,FWD,Bournemouth,6.0,0.1,0.0,d,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Silva,DEF,Bournemouth,5.0,0.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Sanchez,DEF,Bournemouth,4.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,Man City (Home),1
Kelleher,GKP,Brentford,5.0,5.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Valdimarsson,GKP,Brentford,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Collins,DEF,Brentford,5.5,1.8,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Van den Berg,DEF,Brentford,5.0,0.2,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Lewis-Potter,MID,Brentford,5.5,0.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Ajer,DEF,Brentford,4.5,3.6,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Kayode,DEF,Brentford,4.5,3.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Henry,DEF,Brentford,4.5,0.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Hickey,DEF,Brentford,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Pinnock,DEF,Brentford,4.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Ji-soo,DEF,Brentford,4.5,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Schuster,DEF,Brentford,4.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Schade,MID,Brentford,6.0,3.7,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
O.Dango,MID,Brentford,6.5,1.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Damsgaard,MID,Brentford,5.5,0.6,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Jensen,MID,Brentford,5.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Janelt,MID,Brentford,5.0,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
Milambo,MID,Brentford,5.0,0.0,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,,,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,Spurs (Away),1
