Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Minutes,Starts,Points_per_Million,xGI_per90,Form_Value,Fixture_Difficulty,Fixture_Adjusted_Value
Van de Ven,DEF,Spurs,4.6,28.4,4.3,0,1,1,0,0,0,0,3,27,8.0,3.0,5.0,1.0,1.0,0.0,572.1311475409836,85.5392156862745,26.81948424068768,0.5157593123209169,0.0,349,104,2,0.61,4.08,6.75,0.6275,3.0475,87.25,4,5.869565217391305,0.15730659025787966,1.307608695652174,1.5251517273576098,1.5347957865211304
Romero,DEF,Spurs,5.0,5.4,5.0,0,0,0,0,1,1,0,3,27,8.0,3.0,5.0,1.0,1.0,0.0,12000.0,88.23529411764706,26.5,0.75,0.0,360,106,3,0.03,4.08,6.75,0.0775,3.0475,90.0,4,5.4,0.0075,1.2449999999999999,1.5251517273576098,1.4613093049719887
Pope,GKP,Newcastle,5.0,5.9,6.0,0,0,0,1,0,1,8,3,26,4.0,3.0,1.0,5.0,3.0,2.0,,226.41509433962264,22.25,0.75,2.0,360,89,3,0.0,1.59,6.5,0.0,1.1949999999999998,90.0,4,5.2,0.0,1.27,1.0793132011769615,1.518963611725263
Zubimendi,MID,Arsenal,5.5,1.8,3.0,2,0,2,0,0,0,0,3,25,10.0,9.0,1.0,2.0,1.0,1.0,3600.0,162.89592760180994,20.75,0.75,0.0,360,83,3,0.1,2.21,6.25,0.11249999999999999,1.9575,90.0,4,4.545454545454546,0.025,0.9590909090909091,1.3609180324818118,1.1336014307150768
M.Salah,MID,Liverpool,14.5,54.3,5.3,1,1,2,0,1,1,0,2,25,9.0,5.0,4.0,4.0,2.0,2.0,545.4545454545454,115.3846153846154,22.75,0.5,0.0,360,91,2,0.66,3.12,6.25,0.8025,2.675,90.0,4,1.7241379310344827,0.165,0.41137931034482755,1.1821924603174603,0.4899076619800219
Livramento,DEF,Newcastle,5.1,9.2,6.3,0,0,0,1,0,1,0,3,25,4.0,3.0,1.0,5.0,3.0,2.0,1384.6153846153843,226.41509433962264,22.0,0.75,0.0,360,88,3,0.26,1.59,6.25,0.20500000000000002,1.1949999999999998,90.0,4,4.901960784313726,0.065,1.2284313725490197,1.0793132011769615,1.46924610582967
Muñoz,DEF,Crystal Palace,5.6,13.1,6.3,0,0,0,1,0,1,0,3,24,4.0,1.0,3.0,1.0,1.0,0.0,423.5294117647059,98.36065573770492,23.25,0.25,0.0,360,93,1,0.85,3.66,6.0,0.615,2.9524999999999997,90.0,4,4.285714285714286,0.2125,1.0875,1.1168162946929303,1.2986481139760717
Pickford,GKP,Everton,5.5,11.9,6.0,0,0,0,0,0,0,9,2,24,5.0,2.0,3.0,7.0,4.0,3.0,36000.0,64.1711229946524,20.25,0.75,2.25,360,81,3,0.01,5.61,6.0,0.005,4.5825,90.0,4,4.363636363636363,0.0025,1.0909090909090908,0.9999314252347828,1.309094649532648
Anthony,MID,Burnley,5.5,0.9,7.0,1,1,2,1,0,1,0,2,24,4.0,2.0,2.0,7.0,1.0,6.0,177.77777777777777,52.38095238095238,19.176136363636363,0.5113636363636364,0.0,352,75,2,1.98,6.72,6.0,1.615,5.09,88.0,4,4.363636363636363,0.50625,1.1454545454545453,1.2867649538023302,1.3581216435549572
Raya,GKP,Arsenal,5.5,23.3,6.0,0,0,0,0,0,0,11,3,24,10.0,9.0,1.0,2.0,1.0,1.0,18000.0,162.89592760180994,25.5,0.75,2.75,360,102,3,0.02,2.21,6.0,0.01,1.9575,90.0,4,4.363636363636363,0.005,1.0909090909090908,1.3609180324818118,1.2894044709555375
Ekitiké,FWD,Liverpool,8.8,30.7,7.3,1,1,2,1,0,1,0,2,24,9.0,5.0,4.0,4.0,2.0,2.0,209.0909090909091,111.98501872659176,24.381270903010037,1.5050167224080269,0.0,299,81,5,1.43,2.67,6.0,1.4024999999999999,2.3049999999999997,74.75,4,2.727272727272727,0.4304347826086956,0.7261363636363635,1.1821924603174603,0.8647488078327921
Grealish,MID,Everton,6.7,20.1,7.3,0,0,0,2,2,4,0,2,24,5.0,2.0,3.0,7.0,4.0,3.0,178.75,62.71929824561404,33.35664335664335,1.2587412587412588,0.0,286,106,4,1.6,4.56,6.0,1.085,3.5925,71.5,3,3.582089552238806,0.5034965034965035,0.9537313432835819,0.9999314252347828,1.1444808820354455
Gabriel,DEF,Arsenal,6.1,21.5,4.7,0,0,0,0,0,0,0,3,23,10.0,9.0,1.0,2.0,1.0,1.0,4500.0,162.89592760180994,22.25,0.25,0.0,360,89,1,0.08,2.21,5.75,0.105,1.9575,90.0,4,3.7704918032786887,0.02,0.8909836065573771,1.3609180324818118,1.0531017253562407
Tarkowski,DEF,Everton,5.5,7.0,5.0,0,0,0,0,0,0,0,2,23,5.0,2.0,3.0,7.0,4.0,3.0,1714.2857142857144,64.1711229946524,16.5,0.0,0.0,360,66,0,0.21,5.61,5.75,0.22,4.5825,90.0,4,4.181818181818182,0.0525,1.0045454545454544,0.9999314252347828,1.20545798977798
Cullen,MID,Burnley,5.0,1.9,6.7,1,0,1,1,0,1,0,2,23,4.0,2.0,2.0,7.0,1.0,6.0,553.3333333333334,49.40476190476191,24.126506024096383,0.8132530120481928,0.0,332,89,3,0.6,6.72,5.75,0.5075000000000001,5.015,83.0,4,4.6,0.16265060240963855,1.2069999999999999,1.2867649538023302,1.4310937350380293
Burn,DEF,Newcastle,5.0,5.6,5.7,0,0,0,0,0,0,0,3,23,4.0,3.0,1.0,5.0,3.0,2.0,3600.0,226.41509433962264,19.0,0.25,0.0,360,76,1,0.1,1.59,5.75,0.085,1.1949999999999998,90.0,4,4.6,0.025,1.1469999999999998,1.0793132011769615,1.371851387912501
L.Paquetá,MID,West Ham,5.9,3.0,7.0,1,1,2,0,0,0,0,1,23,6.0,3.0,3.0,12.0,9.0,3.0,240.7142857142857,81.20481927710843,20.83086053412463,0.5341246290801187,0.0,337,78,2,1.4,4.15,5.75,0.845,3.295,84.25,4,3.8983050847457625,0.37388724035608306,1.0381355932203389,1.2723983013387667,1.23162339325678
Gakpo,MID,Liverpool,7.7,18.3,6.7,1,0,1,0,2,2,0,2,23,9.0,5.0,4.0,4.0,2.0,2.0,433.73493975903614,115.3846153846154,21.75,0.5,0.0,360,87,2,0.83,3.12,5.75,0.9,2.675,90.0,4,2.987012987012987,0.2075,0.7837662337662337,1.1821924603174603,0.9333796655972995
Schär,DEF,Newcastle,5.5,3.0,5.0,0,0,0,0,0,0,0,3,23,4.0,3.0,1.0,5.0,3.0,2.0,2916.666666666667,286.88524590163934,21.085714285714285,0.0,0.0,350,82,0,0.12,1.22,5.75,0.10250000000000001,0.9175,87.5,4,4.181818181818182,0.030857142857142857,1.0045454545454544,1.0793132011769615,1.201470859668157
Mitchell,DEF,Crystal Palace,5.0,1.9,5.3,0,0,0,0,0,0,0,3,22,4.0,1.0,3.0,1.0,1.0,0.0,3272.7272727272725,98.36065573770492,24.25,0.25,0.0,360,97,1,0.11,3.66,5.5,0.10999999999999999,2.9524999999999997,90.0,4,4.4,0.0275,1.0879999999999999,1.1168162946929303,1.2992451935687044
Richards,DEF,Crystal Palace,4.5,1.9,5.3,0,0,0,0,0,0,0,3,22,4.0,1.0,3.0,1.0,1.0,0.0,2769.230769230769,98.36065573770492,23.0,0.0,0.0,360,92,0,0.13,3.66,5.5,0.175,2.9524999999999997,90.0,4,4.888888888888889,0.0325,1.2088888888888887,1.1168162946929303,1.4436057706318937
Virgil,DEF,Liverpool,6.0,27.4,4.7,0,0,0,0,0,0,0,2,22,9.0,5.0,4.0,4.0,2.0,2.0,1714.2857142857144,115.3846153846154,19.25,1.0,0.0,360,77,4,0.21,3.12,5.5,0.215,2.675,90.0,4,3.6666666666666665,0.0525,0.8766666666666666,1.1821924603174603,1.0440138971560846
Ndiaye,MID,Everton,6.5,9.0,5.7,1,1,2,0,0,0,0,2,22,5.0,2.0,3.0,7.0,4.0,3.0,244.85294117647055,71.45922746781116,22.43243243243243,0.0,0.0,333,83,0,1.36,4.66,5.5,0.925,3.87,83.25,4,3.3846153846153846,0.3675675675675676,0.8553846153846153,0.9999314252347828,1.0264644713514968
Trippier,DEF,Newcastle,5.0,2.8,4.3,0,0,0,0,0,0,0,3,21,4.0,3.0,1.0,5.0,3.0,2.0,1975.0,274.7826086956522,21.93037974683544,0.569620253164557,0.0,316,77,2,0.16,1.15,5.25,0.1775,0.8825,79.0,4,4.2,0.04556962025316456,0.993,1.0793132011769615,1.1876620995615639
Garner,MID,Everton,5.0,0.3,5.3,1,0,1,0,0,0,0,2,21,5.0,2.0,3.0,7.0,4.0,3.0,2117.6470588235293,64.1711229946524,24.75,0.75,0.0,360,99,3,0.17,5.61,5.25,0.23000000000000004,4.5825,90.0,4,4.2,0.0425,1.053,0.9999314252347828,1.2636036104613886
Pedro Porro,DEF,Spurs,5.6,25.2,5.0,0,0,0,0,0,0,0,3,21,8.0,3.0,5.0,1.0,1.0,0.0,653.8461538461538,83.95061728395062,24.08823529411765,0.0,0.0,340,91,0,0.52,4.05,5.25,0.545,3.0325,85.0,4,3.7500000000000004,0.13764705882352943,0.9241071428571429,1.5251517273576098,1.0846637483118249
Richarlison,FWD,Spurs,6.7,14.1,6.3,2,0,2,0,1,1,0,2,20,8.0,3.0,5.0,1.0,1.0,0.0,254.4554455445545,66.75324675324676,31.51750972762646,1.050583657587549,0.0,257,90,3,1.01,3.85,5.0,0.9525,2.7125,64.25,3,2.9850746268656714,0.35369649805447473,0.8044776119402984,1.5251517273576098,0.9442494939518095
Szoboszlai,MID,Liverpool,6.5,3.1,5.7,1,0,1,0,0,0,0,2,20,9.0,5.0,4.0,4.0,2.0,2.0,1440.0,115.3846153846154,22.25,0.75,0.0,360,89,3,0.25,3.12,5.0,0.2925,2.675,90.0,4,3.076923076923077,0.0625,0.8015384615384615,1.1821924603174603,0.9545444406288156
Tavernier,MID,Bournemouth,5.5,1.6,6.0,1,0,1,0,0,0,0,2,20,6.0,3.0,3.0,5.0,1.0,4.0,291.22807017543863,121.16788321167884,17.620481927710845,0.8132530120481928,0.0,332,65,3,1.14,2.74,5.0,0.8975,2.7325,83.0,4,3.6363636363636362,0.3090361445783132,0.9636363636363636,1.3295316260920287,1.1404862034701113
Rodon,DEF,Leeds,4.0,2.9,5.3,0,0,0,0,0,0,0,2,20,1.0,1.0,0.0,6.0,0.0,6.0,,92.54498714652956,16.0,0.5,0.0,360,64,2,0.0,3.89,5.0,0.0,3.1525000000000003,90.0,4,5.0,0.0,1.2725,0.9536051844808622,1.529951870137405
Gyökeres,FWD,Arsenal,9.0,25.0,4.7,3,0,3,0,0,0,0,2,20,10.0,9.0,1.0,2.0,1.0,1.0,200.0,220.14388489208636,24.11764705882353,0.5882352941176471,0.0,306,82,2,1.53,1.39,5.0,1.3375000000000001,1.1125,76.5,4,2.2222222222222223,0.45,0.5455555555555556,1.3609180324818118,0.644821624780635
Cucurella,DEF,Chelsea,6.1,28.7,6.3,0,0,0,0,1,1,0,2,20,16.0,9.0,7.0,7.0,4.0,3.0,523.2142857142857,148.73096446700507,29.48805460750853,0.6143344709897611,0.0,293,96,2,0.56,1.97,5.0,0.485,1.605,73.25,3,3.278688524590164,0.17201365187713313,0.8836065573770492,1.1972356689743435,1.05161393232974
Johnson,DEF,Sunderland,4.0,0.2,0.0,1,1,2,0,0,0,0,2,19,5.0,5.0,0.0,3.0,1.0,2.0,,,26.71232876712329,0.821917808219178,0.0,219,65,2,0.0,0.0,2.375,0.45,1.30375,27.375,3,4.75,0.0,0.41562499999999997,1.424143122902314,0.4899357757271862
Andersen,DEF,Fulham,4.5,3.0,3.0,0,0,0,0,0,0,0,1,19,3.0,2.0,1.0,4.0,1.0,3.0,409.09090909090907,65.93406593406594,18.25,0.5,0.0,360,73,2,0.88,5.46,4.75,0.6175,4.075,90.0,4,4.222222222222222,0.22,0.9388888888888888,1.276717597780509,1.1136763127708593
Sánchez,GKP,Chelsea,5.0,23.9,5.7,0,0,0,0,0,0,11,2,19,16.0,9.0,7.0,7.0,4.0,3.0,,149.37759336099583,17.75,0.25,2.75,360,71,1,0.0,2.41,4.75,0.0,2.075,90.0,4,3.8,0.0,1.0070000000000001,1.1972356689743435,1.198469184067142
P.M.Sarr,MID,Spurs,5.0,2.5,3.7,0,1,1,1,0,1,0,3,19,8.0,3.0,5.0,1.0,1.0,0.0,1326.923076923077,84.55882352941177,19.30434782608696,0.0,0.0,345,74,0,0.26,4.08,4.75,0.3275,3.0475,86.25,4,3.8,0.06782608695652174,0.8869999999999999,1.5251517273576098,1.0411095208916898
