Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
De Cuyper,Brighton,DEF,4.6,17,3.695652173913044,1.9636363636363636,3.695652173913044,4.191515933828911
Mendy,Hull City,DEF,4.0,15,3.75,0.4000000000000001,3.75,4.176629523313403
Ajayi,Hull City,DEF,4.0,14,3.5,0.7428571428571429,3.5,3.926629523313403
Hinshelwood,Brighton,MID,6.0,16,2.6666666666666665,2.0428571428571427,2.6666666666666665,3.466666666666667
Kayode,Brentford,DEF,4.6,13,2.8260869565217392,0.6,2.8260869565217392,3.2947567458612084
M.Sangaré,Brentford,MID,5.6,14,2.5,0.45599999999999996,2.5,2.937140295311474
Justin,Leeds,DEF,4.5,10,2.2222222222222223,0.01,2.2222222222222223,2.6864394350165015
Tzolakis,Hull City,GKP,4.5,10,2.2222222222222223,0.0,2.2222222222222223,2.6488517455356253
White,Arsenal,DEF,5.5,11,2.0,0.39,2.0,2.5
Bijol,Leeds,DEF,5.0,10,2.0,0.11,2.0,2.464217212794279
Egan,Hull City,DEF,4.0,8,2.0,0.0,2.0,2.426629523313403
Lewis-Potter,Brentford,MID,5.5,10,1.8181818181818181,0.89,1.8181818181818181,2.3509235120946905
Stach,Leeds,MID,6.0,13,2.1666666666666665,0.15,2.1666666666666665,2.2988288268374992
Trafford,Leeds,GKP,5.0,9,1.8,0.0,1.8,2.2642172127942795
Janelt,Brentford,MID,5.0,9,1.8,0.56,1.8,2.2600493862205644
Ajer,Brentford,DEF,4.5,8,1.7777777777777777,0.13,1.7777777777777777,2.246447567117247
Calafiori,Arsenal,DEF,5.6,9,1.6071428571428572,0.14625000000000002,1.6071428571428572,2.107142857142857
Ødegaard,Arsenal,MID,6.5,11,1.6923076923076923,0.372,1.6923076923076923,2.1047427980026514
Gakpo,Liverpool,MID,7.0,12,1.7142857142857142,0.45,1.7142857142857142,2.026056231823738
João Pedro,Chelsea,FWD,7.6,11,1.4473684210526316,0.69,1.4473684210526316,1.9294071686148755
Coyle,Hull City,DEF,4.0,6,1.5,0.013043478260869565,1.5,1.926629523313403
Wieffer,Brighton,DEF,5.0,7,1.4,0.16363636363636366,1.4,1.895863759915867
Kelleher,Brentford,GKP,5.0,7,1.4,0.01,1.4,1.868669789339469
Boscagli,Brighton,DEF,4.5,6,1.3333333333333333,0.04,1.3333333333333333,1.8291970932492003
Muharemović,Leeds,DEF,5.0,6,1.2,0.09,1.2,1.6642172127942791
Rogers,Chelsea,MID,7.5,8,1.0666666666666667,1.1777777777777778,1.0666666666666667,1.6561529666764632
Slater,Hull City,MID,4.5,6,1.3333333333333333,0.44,1.3333333333333333,1.6390351297438226
Szoboszlai,Liverpool,MID,7.0,8,1.1428571428571428,1.12,1.1428571428571428,1.6022150729825797
Mosquera,Arsenal,DEF,5.5,6,1.0909090909090908,0.0,1.0909090909090908,1.5909090909090908
Collins,Brentford,DEF,5.5,6,1.0909090909090908,0.38,1.0909090909090908,1.55957888024856
Jensen,Brentford,MID,5.5,6,1.0909090909090908,0.5727272727272728,1.0909090909090908,1.5537620372059426
Saka,Arsenal,MID,9.5,9,0.9473684210526315,0.9671641791044776,0.9473684210526315,1.4909061256412344
Palmer,Chelsea,MID,9.5,13,1.368421052631579,0.5158536585365854,0.9578947368421052,1.4015725770190517
Lacroix,Chelsea,DEF,6.0,6,1.0,0.2,1.0,1.0796714579465325
