Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Hinshelwood,Brighton,MID,6.0,16,2.6666666666666665,2.0428571428571427,2.6666666666666665,3.466666666666667
M.Sangaré,Brentford,MID,5.6,14,2.5,0.45599999999999996,2.5,2.937575970540469
Lewis-Potter,Brentford,MID,5.5,10,1.8181818181818181,0.89,1.8181818181818181,2.351359187323686
Stach,Leeds,MID,6.0,13,2.1666666666666665,0.15,2.1666666666666665,2.298821880391735
Janelt,Brentford,MID,5.0,9,1.8,0.56,1.8,2.2604850614495597
Ødegaard,Arsenal,MID,6.6,11,1.6666666666666667,0.372,1.6666666666666667,2.07910123219113
Gakpo,Liverpool,MID,7.0,12,1.7142857142857142,0.45,1.7142857142857142,2.026052428681584
Rogers,Chelsea,MID,7.5,8,1.0666666666666667,1.1777777777777778,1.0666666666666667,1.6563887422751524
Szoboszlai,Liverpool,MID,7.0,8,1.1428571428571428,1.12,1.1428571428571428,1.6022112698404252
Jensen,Brentford,MID,5.5,6,1.0909090909090908,0.5727272727272728,1.0909090909090908,1.5541977124349382
Saka,Arsenal,MID,9.5,9,0.9473684210526315,0.9671641791044776,0.9473684210526315,1.4909055854707385
Palmer,Chelsea,MID,9.5,13,1.368421052631579,0.5158536585365854,0.9578947368421052,1.401808352617741
Tzolis,Arsenal,MID,6.5,6,0.9230769230769231,0.396,0.9230769230769231,1.3407982018880997
