Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Semenyo,MID,Man City,8.5,24.2,2.0,2,0,2,2,1,3,0,2,33,18.0,12.0,6.0,9.0,7.0,2.0,5625.0,692.3076923076923,29.4,0.4,0.0,450,147,2,0.08,0.65,6.6,0.908,3.114,90.0,5,3.8823529411764706,0.016,0.5599999999999999,0.04476190476190477,1.0,0.5320631246074443,0.930142857142857
Jacquet,DEF,Liverpool,5.0,2.4,1.0,0,0,0,0,0,0,0,3,24,7.0,2.0,5.0,4.0,2.0,2.0,20750.0,399.0384615384616,24.289156626506024,0.6506024096385542,0.0,415,112,3,0.02,1.04,4.8,0.09,3.7119999999999997,83.0,5,4.8,0.004337349397590362,0.6559999999999999,0.012134251290877798,0.4849300192834485,0.5344844352354683,0.9232422176177341
Barnes,MID,Newcastle,6.0,1.1,2.0,1,0,1,3,0,3,0,1,28,11.0,8.0,3.0,10.0,6.0,4.0,5000.0,151.00671140939596,21.0,0.6,0.0,450,105,3,0.09,2.98,5.6,0.49800000000000005,5.848000000000001,90.0,5,4.666666666666667,0.018,0.6933333333333334,0.05035714285714286,0.5624761017258444,0.03424985606766857,0.9128606832230931
Haaland,FWD,Man City,15.5,67.9,2.0,2,3,5,0,0,0,0,2,39,18.0,12.0,6.0,9.0,7.0,2.0,592.1052631578947,692.3076923076923,33.4,1.8,0.0,450,167,9,0.76,0.65,7.8,2.786,3.114,90.0,5,2.5161290322580645,0.152,0.35354838709677416,0.42523809523809525,1.0,0.5320631246074443,0.894905529953917
Thomas,DEF,Coventry City,4.0,7.9,3.0,0,0,0,0,0,0,0,2,28,4.0,3.0,1.0,10.0,6.0,4.0,18533.333333333336,295.74468085106383,14.73021582733813,0.4856115107913669,0.0,556,91,3,0.03,1.88,3.111111111111111,0.27,2.902222222222222,61.77777777777778,6,7.0,0.004856115107913669,0.7666666666666667,0.013585560123329909,0.0,0.21491616295970997,0.8741247481465217
Virgil,DEF,Liverpool,6.5,19.6,2.0,0,0,0,0,0,0,0,3,25,7.0,2.0,5.0,4.0,2.0,2.0,1730.7692307692307,284.8101265822785,19.2,0.0,0.0,450,96,0,0.26,1.58,5.0,0.302,4.308,90.0,5,3.8461538461538463,0.052000000000000005,0.5846153846153845,0.1454761904761905,0.4849300192834485,0.5344844352354683,0.8518576022331187
Scott,MID,Bournemouth,6.0,1.5,2.0,1,0,1,0,2,2,0,1,30,6.0,3.0,3.0,8.0,4.0,4.0,44600.0,198.22222222222223,26.031390134529147,1.0089686098654709,0.0,446,129,5,0.01,2.25,6.0,0.6220000000000001,4.574,89.2,5,5.0,0.002017937219730942,0.7333333333333333,0.005645419602818707,0.2916784387419358,0.16632684442838203,0.8379612257142792
Mbeumo,MID,Man Utd,8.0,36.0,2.0,1,1,2,1,0,1,0,0,25,12.0,9.0,3.0,8.0,3.0,5.0,616.4383561643835,445.5445544554456,22.0,0.6,0.0,450,110,3,0.73,1.01,5.0,2.686,4.0280000000000005,90.0,5,3.125,0.146,0.475,0.40845238095238096,0.4976552032320939,0.35700419617142254,0.8329828925598042
Cunha,MID,Man Utd,8.0,9.4,2.0,0,1,1,2,0,2,0,1,26,12.0,9.0,3.0,8.0,3.0,5.0,904.4444444444443,402.970297029703,21.00737100737101,0.8845208845208845,0.0,407,95,4,0.45,1.01,5.2,0.9039999999999999,3.012,81.4,5,3.25,0.09950859950859951,0.49,0.2783871533871534,0.4976552032320939,0.35700419617142254,0.7894535401554519
Gibbs-White,MID,Nott'm Forest,8.0,8.6,2.0,0,1,1,0,2,2,0,1,28,8.0,1.0,7.0,11.0,6.0,5.0,2368.4210526315787,957.4468085106384,23.2,1.2,0.0,450,116,6,0.19,0.47,5.6,1.656,2.9679999999999995,90.0,5,3.5,0.038,0.52,0.10630952380952381,0.2679527702094143,0.5697297949097453,0.6616227552875807
B.Fernandes,MID,Man Utd,12.0,48.4,2.0,3,0,3,1,0,1,0,0,31,12.0,9.0,3.0,8.0,3.0,5.0,1323.529411764706,445.5445544554456,29.6,0.6,0.0,450,148,3,0.34,1.01,6.2,2.7039999999999997,4.0280000000000005,90.0,5,2.5833333333333335,0.068,0.37666666666666665,0.19023809523809526,0.4976552032320939,0.35700419617142254,0.6364531306550424
King,GKP,Everton,4.5,0.0,0.0,2,0,2,0,0,0,0,2,24,10.0,5.0,5.0,4.0,2.0,2.0,,,23.08235294117647,0.6352941176470588,0.0,425,109,3,0.0,0.0,2.4,0.58,2.806,42.5,5,5.333333333333333,0.0,0.32,0.0,0.44137737492703416,0.42589547633360764,0.5329477381668039
