Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Ajayi,Hull City,DEF,4.1,20,4.878048780487806,0.3058823529411765,2.439024390243903,2.8641917408232533
Tzolakis,Hull City,GKP,4.6,20,4.347826086956522,0.0,2.173913043478261,2.5990803940576117
Egan,Hull City,DEF,4.0,17,4.25,0.0,2.125,2.5501673505793505
Mendy,Hull City,DEF,4.0,16,4.0,0.21570247933884296,2.0,2.4251673505793505
Calafiori,Arsenal,DEF,5.6,20,3.5714285714285716,0.3705882352941176,1.7857142857142858,2.2857142857142856
White,Arsenal,DEF,5.5,18,3.272727272727273,0.22,1.6363636363636365,2.1363636363636367
Hinshelwood,Brighton,MID,6.0,16,2.6666666666666665,2.0428571428571427,1.3333333333333333,2.044884994183141
Cherki,Man City,MID,7.7,22,2.857142857142857,1.1666666666666667,1.4285714285714286,1.9901940962049052
Giles,Hull City,DEF,4.0,12,3.0,0.08275862068965517,1.5,1.9251673505793505
De Cuyper,Brighton,DEF,4.7,17,3.6170212765957444,0.948502994011976,1.8085106382978722,1.8686433043121298
João Pedro,Chelsea,FWD,7.7,20,2.5974025974025974,0.98,1.2987012987012987,1.8645754245754245
M.Sangaré,Brentford,MID,5.7,18,3.1578947368421053,0.3381818181818182,1.5789473684210527,1.8410300189886026
Lewis-Potter,Brentford,MID,5.5,16,2.909090909090909,0.528813559322034,1.4545454545454546,1.7586204117278075
Kayode,Brentford,DEF,4.6,15,3.2608695652173916,0.40555555555555556,1.6304347826086958,1.7348669947561302
Groß,Brighton,MID,5.5,15,2.727272727272727,0.215,1.3636363636363635,1.6725481643463107
Mosquera,Arsenal,DEF,5.5,12,2.1818181818181817,0.005357142857142857,1.0909090909090908,1.5909090909090908
B.Fernandes,Man Utd,MID,12.0,25,2.0833333333333335,1.42,1.0416666666666667,1.5717334501448097
Stach,Leeds,MID,6.0,17,2.8333333333333335,0.115,1.4166666666666667,1.5323383214170243
Raya,Arsenal,GKP,6.0,12,2.0,0.0,1.0,1.5
Rogers,Chelsea,MID,7.5,13,1.7333333333333334,1.1631578947368422,0.8666666666666667,1.4728867623604467
Ndiaye,Man City,MID,6.0,13,2.1666666666666665,0.325,1.0833333333333333,1.4595539030647118
Justin,Leeds,DEF,4.5,12,2.6666666666666665,0.025,1.3333333333333333,1.4370480045800105
Saka,Arsenal,MID,9.5,20,2.1052631578947367,0.7968152866242038,1.0526315789473684,1.4356725730501902
Schade,Brentford,MID,6.0,13,2.1666666666666665,0.4067796610169492,1.0833333333333333,1.3605266975323982
Gvardiol,Man City,DEF,5.6,14,2.5,0.15365853658536588,1.25,1.340337848982009
Ødegaard,Arsenal,MID,6.6,14,2.121212121212121,0.28551724137931034,1.0606060606060606,1.3310184643227696
Mbeumo,Man Utd,MID,8.0,13,1.625,1.35,0.8125,1.3271472030585625
Ajer,Brentford,DEF,4.5,11,2.4444444444444446,0.07,1.2222222222222223,1.3266544343696567
Gabriel,Arsenal,DEF,8.0,13,1.625,0.105,0.8125,1.3125
Trafford,Leeds,GKP,5.0,12,2.4,0.0,1.2,1.3037146712466772
Palmer,Chelsea,MID,9.6,20,2.0833333333333335,0.6593023255813953,0.7291666666666667,1.2243975985255056
Bijol,Leeds,DEF,5.0,11,2.2,0.07333333333333333,1.1,1.2037146712466773
Guéhi,Man City,DEF,6.0,12,2.0,0.625,1.0,1.090337848982009
Cunha,Man Utd,MID,8.0,11,1.375,0.40443037974683543,0.6875,0.9938573916041943
Haaland,Man City,FWD,15.5,15,0.967741935483871,0.71,0.4838709677419355,0.9448992297810064
