Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Emersonn,Ipswich Town,FWD,5.5,9,1.6363636363636365,1.2184615384615385,1.6363636363636365,2.3019755270529263
Barry,Everton,FWD,5.5,8,1.4545454545454546,0.6230769230769231,1.4545454545454546,1.8998485797827902
Havertz,Arsenal,FWD,7.5,6,0.8,0.29,0.8,1.2503223919909492
McBurnie,Hull City,FWD,5.5,5,0.9090909090909091,0.11,0.9090909090909091,1.1641990867319814
Wilson,Brentford,FWD,5.5,4,0.7272727272727273,0.17500000000000002,0.21818181818181817,0.6328125
