Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
De Cuyper,Brighton,DEF,4.6,17,3.695652173913044,1.9636363636363636,3.695652173913044,4.191515933828911
Mendy,Hull City,DEF,4.0,15,3.75,0.4000000000000001,3.75,4.176629523313403
Ajayi,Hull City,DEF,4.0,14,3.5,0.7428571428571429,3.5,3.926629523313403
Kayode,Brentford,DEF,4.6,13,2.8260869565217392,0.6,2.8260869565217392,3.2947567458612084
Justin,Leeds,DEF,4.5,10,2.2222222222222223,0.01,2.2222222222222223,2.6864394350165015
White,Arsenal,DEF,5.5,11,2.0,0.39,2.0,2.5
Bijol,Leeds,DEF,5.0,10,2.0,0.11,2.0,2.464217212794279
Egan,Hull City,DEF,4.0,8,2.0,0.0,2.0,2.426629523313403
Ajer,Brentford,DEF,4.5,8,1.7777777777777777,0.13,1.7777777777777777,2.246447567117247
Calafiori,Arsenal,DEF,5.6,9,1.6071428571428572,0.14625000000000002,1.6071428571428572,2.107142857142857
Coyle,Hull City,DEF,4.0,6,1.5,0.013043478260869565,1.5,1.926629523313403
Wieffer,Brighton,DEF,5.0,7,1.4,0.16363636363636366,1.4,1.895863759915867
Boscagli,Brighton,DEF,4.5,6,1.3333333333333333,0.04,1.3333333333333333,1.8291970932492003
Muharemović,Leeds,DEF,5.0,6,1.2,0.09,1.2,1.6642172127942791
Mosquera,Arsenal,DEF,5.5,6,1.0909090909090908,0.0,1.0909090909090908,1.5909090909090908
Collins,Brentford,DEF,5.5,6,1.0909090909090908,0.38,1.0909090909090908,1.55957888024856
Lacroix,Chelsea,DEF,6.0,6,1.0,0.2,1.0,1.0796714579465325
